# x[mm]	L[um]	t[s]	stress[Pa]
4.708200365611074467e+00	7.389056098930649341e+02	3.478915662650596680e-02	-0.000000000000000000e+00
4.728582185375624469e+00	7.389056098930649341e+02	3.493975903614451872e-02	-6.507022081597635220e-16
4.748964005140174471e+00	7.389056098930649341e+02	3.509036144578307065e-02	6.507022081597635220e-16
4.769345824904724473e+00	7.389056098930649341e+02	3.524096385542162951e-02	-0.000000000000000000e+00
4.789727644669275364e+00	7.389056098930649341e+02	3.539156626506018144e-02	-6.507022081597635220e-16
4.810109464433824478e+00	7.389056098930649341e+02	3.554216867469873337e-02	6.507022081597635220e-16
4.830491284198375368e+00	7.389056098930649341e+02	3.569277108433729223e-02	-0.000000000000000000e+00
4.850873103962925370e+00	7.389056098930649341e+02	3.584337349397584416e-02	-6.507022081597635220e-16
4.871254923727475372e+00	7.389056098930649341e+02	3.599397590361439608e-02	6.507022081597635220e-16
4.891636743492025374e+00	7.389056098930649341e+02	3.614457831325295495e-02	-0.000000000000000000e+00
4.912018563256575376e+00	7.389056098930649341e+02	3.629518072289150687e-02	-6.507022081597635220e-16
4.932400383021125378e+00	7.389056098930649341e+02	3.644578313253005880e-02	6.507022081597635220e-16
4.952782202785675381e+00	7.389056098930649341e+02	3.659638554216861767e-02	-0.000000000000000000e+00
4.973164022550226271e+00	7.389056098930649341e+02	3.674698795180716959e-02	-0.000000000000000000e+00
4.993545842314776273e+00	7.389056098930649341e+02	3.689759036144572846e-02	-6.507022081597635220e-16
5.013927662079326275e+00	7.389056098930649341e+02	3.704819277108428038e-02	6.507022081597635220e-16
5.034309481843876277e+00	7.389056098930649341e+02	3.719879518072283231e-02	-0.000000000000000000e+00
5.054691301608426279e+00	7.389056098930649341e+02	3.734939759036139117e-02	-6.507022081597635220e-16
5.075073121372976281e+00	7.389056098930649341e+02	3.749999999999994310e-02	6.507022081597635220e-16
5.095454941137526284e+00	7.389056098930649341e+02	3.765060240963849503e-02	-0.000000000000000000e+00
5.115836760902077174e+00	7.389056098930649341e+02	3.780120481927705389e-02	-6.507022081597635220e-16
5.136218580666626288e+00	7.389056098930649341e+02	3.795180722891560582e-02	6.507022081597635220e-16
5.156600400431177178e+00	7.389056098930649341e+02	3.810240963855415774e-02	-0.000000000000000000e+00
5.176982220195727180e+00	7.389056098930649341e+02	3.825301204819271661e-02	-6.507022081597635220e-16
5.197364039960276294e+00	7.389056098930649341e+02	3.840361445783126160e-02	6.507022081597635220e-16
5.217745859724827184e+00	7.389056098930649341e+02	3.855421686746982046e-02	-0.000000000000000000e+00
5.238127679489377186e+00	7.389056098930649341e+02	3.870481927710837239e-02	-6.507022081597635220e-16
5.258509499253927189e+00	7.389056098930649341e+02	3.885542168674692431e-02	6.507022081597635220e-16
5.278891319018477191e+00	7.389056098930649341e+02	3.900602409638547624e-02	-0.000000000000000000e+00
5.299273138783028081e+00	7.389056098930649341e+02	3.915662650602403511e-02	-6.507022081597635220e-16
5.319654958547577195e+00	7.389056098930649341e+02	3.930722891566258009e-02	6.507022081597635220e-16
5.340036778312128085e+00	7.389056098930649341e+02	3.945783132530113896e-02	-0.000000000000000000e+00
5.360418598076678087e+00	7.389056098930649341e+02	3.960843373493969088e-02	-6.507022081597635220e-16
5.380800417841227201e+00	7.389056098930649341e+02	3.975903614457824281e-02	6.507022081597635220e-16
5.401182237605778091e+00	7.389056098930649341e+02	3.990963855421679474e-02	-0.000000000000000000e+00
5.421564057370328094e+00	7.389056098930649341e+02	4.006024096385535360e-02	-6.507022081597635220e-16
5.441945877134878096e+00	7.389056098930649341e+02	4.021084337349389859e-02	6.507022081597635220e-16
5.462327696899428098e+00	7.389056098930649341e+02	4.036144578313245745e-02	-0.000000000000000000e+00
5.482709516663978988e+00	7.389056098930649341e+02	4.051204819277100938e-02	-0.000000000000000000e+00
5.503091336428528990e+00	7.389056098930649341e+02	4.066265060240956825e-02	-6.507022081597635220e-16
5.523473156193078104e+00	7.389056098930649341e+02	4.081325301204811323e-02	6.507022081597635220e-16
5.543854975957628994e+00	7.389056098930649341e+02	4.096385542168666516e-02	-0.000000000000000000e+00
5.564236795722178996e+00	7.389056098930649341e+02	4.111445783132522402e-02	-6.507022081597635220e-16
5.584618615486728999e+00	7.389056098930649341e+02	4.126506024096376901e-02	6.507022081597635220e-16
5.605000435251279001e+00	7.389056098930649341e+02	4.141566265060232788e-02	-0.000000000000000000e+00
5.625382255015829891e+00	7.389056098930649341e+02	4.156626506024087980e-02	-6.507022081597635220e-16
5.645764074780379005e+00	7.389056098930649341e+02	4.171686746987943173e-02	6.507022081597635220e-16
5.666145894544929895e+00	7.389056098930649341e+02	4.186746987951798366e-02	-0.000000000000000000e+00
5.686527714309479897e+00	7.389056098930649341e+02	4.201807228915654252e-02	-6.507022081597635220e-16
5.706909534074029011e+00	7.389056098930649341e+02	4.216867469879508751e-02	6.507022081597635220e-16
5.727291353838579901e+00	7.389056098930649341e+02	4.231927710843364637e-02	-0.000000000000000000e+00
5.747673173603129904e+00	7.389056098930649341e+02	4.246987951807219830e-02	-6.507022081597635220e-16
